| Claim A | Claim B | Source A | Source B | Evidence rank A | Evidence rank B | Which outranks? | Resolution needed | Pause required? |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Current source requested RUN296R | ASC_Version compile-visible identity is RUN294R | current user prompt | mt5/core/ASC_Version.mqh | 2 | 3 | source outranks prompt for current compile identity | Create RUN296 report only; do not mutate source identity in audit | no patch; TEST FIRST |
| RUN295R corridor expected | RUN295R_REPORT.md not present | prompt/history | inspected report inventory | 2 | 3 | file inventory outranks history | Next run must quarantine RUN295 unless package supplied | yes before source patch |
| RUN292R HOLD is prior evidence | RUN292R_REPORT.md not present in inspected tree | prompt/history | report inventory | 2 | 3 | inventory outranks memory | Do not cite absent report as file evidence | yes for claims relying on it |
| Git repo may be current | uploaded package is latest supplied source authority | repo name in prompt | uploaded zip extracted | 1 | 3 | uploaded active source for this run | Git parity check only if next run needs it | no for audit; yes before Git patch |
| Reports say TEST FIRST/PASS style | no compile/live proof in RUN294/RUN293/RUN291 | reports | report text and no transcript | 2 | 3 | source/report inspection outranks labels | Batched compile/live required later | yes for readiness claims |
| Market Board can publish visible truth | Dossier/SDP committed truth not live-readback proven | source tokens | absence of current generated readback | 3 | 3 | no proof outranks source-context claim | RUN300 live readback | yes before Siam-ready proof |
| GlobalTop10/Top5 parity fields exist | old generated output is RUN238/RUN263, not RUN294 | source | evidence output inventory | 3 | 2 | source current but proof absent | fresh generated readback | yes before parity proof |
| Dossier family plan available | SDP family plan may be source-context only | RUN294 source | no live proof | 3 | 3 | neither proves runtime parity | compare generated Dossier/SDP same snapshot | yes |
| Warmup first pass may be incomplete | complete refresh must not stay half-truth | workflow requirement | source refresh lifecycle | 2 | 3 | source shows mechanism, not proof | complete-pass telemetry/live proof | yes before claiming complete |
| same-snapshot continuity context exists | changing board state can still desync output surfaces | RUN294 source | runtime not observed | 3 | 3 | runtime unknown | single-window board/dossier/SDP readback | yes |
| current_family_match/source-context | runtime readback proof | source context fields | no current live output | 3 | 0 | source context is lower than readback proof | readback proof required | yes |
| main_lite_match/shared-context | actual file parity | source context | no current file comparison | 3 | 0 | actual file parity missing | file diff/live proof | yes |
| overall coherence clean | section-level unknown/placeholders possible | output semantics | SDP placeholder sections | 2 | 3 | source placeholder evidence outranks clean wording | coherence must downgrade on section unknown | yes |
| L3/L4 hydrated | SDP Lite L3/L4 can be debug-only/quarantined | MarketBoard/SDP source | SDP composer placeholder/quarantine text | 3 | 3 | both source; narrower field wins | separate committed vs debug context | yes |
| Siam review-ready | placeholder-heavy files are not fully review-ready | selector wording | placeholder owner/reason fields | 3 | 3 | more conservative semantics wins | selector must expose readiness reasons | yes |
| Heartbeat alive | old evidence shows budget pressure | old heartbeat output | old heartbeat output | 2 | 2 | same evidence: alive not enough | current live heartbeat budget proof | yes for runtime health |
| File exists | publication/readback success | generated file presence | FileIO source and no current readback | 2 | 3 | FileIO contract outranks presence | publish status/readback proof | yes |
| permission substrings found | exact positives may be negated boundary phrases | grep scan | grep scan context | 4 | 4 | exact context scan wins | forbidden exact positive scan in source and output | no if exact positives absent |
| old prompt says no audit-only waste | current user explicitly requested full audit | old prompt | current RUN296 prompt | 2 | 2 | current user request wins | read-only audit valid | no |
