| System area | Source owner file(s) | Key structs/functions | Consumers | Current authority | Known risks | Next action |
| --- | --- | --- | --- | --- | --- | --- |
| version identity | mt5/core/ASC_Version.mqh | ASC_VERSION_LABEL; ASC_TRUTH_SEEKER_CURRENT_RUN | all outputs/reports | RUN294R source identity | RUN295R absent; report/run drift | source identity lock before next patch |
| bootstrap/init | mt5/AuroraSentinelCore.mq5; mt5/runtime/ASC_Bootstrap.mqh | OnInit; ASC_BootstrapRuntime | timer, runtime state, paths | source inspected | init success not runtime-proven | compile/live proof later |
| timer/dispatcher | mt5/AuroraSentinelCore.mq5; mt5/runtime/ASC_Dispatcher.mqh | EventSetTimer; OnTimer; ASC_RunHeartbeat | all writers/status | source inspected | large dispatcher; budget pressure risk | bounded scheduler proof |
| symbol universe | mt5/market_state/*; mt5/open_symbol_snapshot/*; mt5/symbols/* | market state; classification; symbol specs | rankers, board, dossiers | source-owned | broker availability unknown | live symbol universe readback |
| Market Board | mt5/artifacts/ASC_MarketBoardWriter.mqh | ASC_BuildMarketBoard*; required tokens | user, Siam selector, status | source inspected | review-ready can overclaim without child readback | live board/child parity proof |
| Market Board fast-lane | ASC_MarketBoardWriter.mqh; ASC_MarketBoardProofHelpers.mqh | fast sync fields; dirty/signature/latency | board/status | source inspected | source-context not live readback | compile + live readback |
| scanner status | mt5/artifacts/ASC_ScannerStatusWriter.mqh | status token writer | user/status surfaces | source inspected | old token failures; current source unproven | live status return proof |
| artifact manifest | runtime/ASC_Dispatcher.mqh; io/ASC_FileIO.mqh | manifest build/write; token checks | proof bundle/status | source inspected | manifest success can be stale if readback not surfaced | manifest readback proof |
| FunctionResults | mt5/logging/ASC_FunctionResults.mqh; ASC_Logging.mqh | compressed result lines | reports/evidence | source inspected | logs are evidence not authority | confirm run/version/staleness tokens |
| heartbeat | AuroraSentinelCore.mq5; runtime/ASC_Dispatcher.mqh | ASC_RunHeartbeat; elapsed/budget fields | health/status | source inspected | alive can hide saturation | budget/deferred/skipped telemetry proof |
| Open Symbol Snapshot | open_symbol_snapshot/ASC_OpenSymbolSnapshotEngine.mqh; ASC_OpenSymbolSnapshotWriter.mqh | snapshot packet; CopyRates; session calls | board, dossier, SDP | central data owner | broker/session/series unavailable cases | owner/reason/retry validation |
| Dossier composer | artifacts/dossier/ASC_DossierComposer.mqh; section files | composer and section builders | Dossier writer/Siam | source inspected | large file/include-order risk | signature compile gate |
| Dossier writer | artifacts/ASC_DossierWriter.mqh | Dossier publication | generated Dossiers | source inspected | file presence vs readback proof | write/readback status proof |
| Dossier contracts | artifacts/dossier/ASC_DossierContracts.mqh; ASC_DossierSectionCommon.mqh | required tokens/common sections | composer/writer | source inspected | token body parity drift | static token/body parity check |
| SDP composer | artifacts/symbol_data_pack/ASC_SymbolDataPackComposer.mqh | lite composer; placeholders; runtime context | SDP writer/Siam | slave projection | placeholder-heavy if source facts absent | owner/reason completeness check |
| SDP writer | artifacts/symbol_data_pack/ASC_SymbolDataPackWriter.mqh | required tokens; publication | generated SDPs | source inspected | required-token explosion; body parity risk | compile + token parity check |
| SDP routing | runtime/ASC_Dispatcher.mqh; symbol_data_pack writer/composer | GlobalTop10/Top5 routing | SDP outputs | source inspected | route mismatch risk | route parity readback |
| GlobalTop10 | runtime/ASC_Dispatcher.mqh; MarketBoardWriter | global family plan/rank | board/dossiers/SDPs | source-context only | not live-proven | generated readback/live proof |
| Top5PerBucket | runtime/ASC_Dispatcher.mqh; MarketBoardWriter | bucket required slugs; Top5 writer routes | board/dossiers/SDPs | source-context only | metals/stocks starvation risk | all-bucket live completeness check |
| bucket fairness | runtime/ASC_Dispatcher.mqh | required bucket seed/complete logic | Top5 surfaces | source inspected | warmup forever or bucket starvation | bounded refresh proof |
| warmup/complete refresh | runtime/ASC_Dispatcher.mqh | RUN293 refresh state | all artifacts | source inspected | first pass incomplete can stay incomplete | complete-pass acceptance gate |
| family_id/snapshot_id | runtime/ASC_Dispatcher.mqh; Dossier/SDP composers | runtime verdict context | board/child files | source-context only | source-context may be mistaken for readback | actual file/live readback |
| board-child signatures | ASC_MarketBoardWriter.mqh; runtime/ASC_Dispatcher.mqh | signature barrier tokens | board/status/manifest | source inspected | clean semantic overclaim | signature mismatch falsifier |
| placeholder owner/reason | SDP composer; Dossier sections | placeholder_owner/reason fields | Siam review | partial | unknown without owner/reason remains defect | static field completeness check |
| data hydration/micro/OHLC | OpenSymbolSnapshotEngine.mqh; ATRSummaryEngine.mqh | ticks, MqlRates, ATR/session | board/dossier/SDP | central owner | no current live hydration proof | live sample per asset class |
| ATR/session/spread-to-ATR | OpenSymbolSnapshotEngine.mqh; ATRSummaryEngine.mqh; SDP composer | CopyRates/session calls/ATR placeholders | review files | mixed: source owner + placeholder projection | fake-proof risk if clean overclaimed | unknown reason + source owner proof |
| duplicate-route resolver | runtime/ASC_Dispatcher.mqh; routing helpers | route/family selection | board/dossier/SDP | partial / UNKNOWN_OWNER pockets | duplicate child route mismatch | owner search and route invariant test |
| L3 | candidate_filtering/ASC_SelectionFilter.mqh | candidate filter score/context | L4/board/dossier/SDP | source owner | ranking support only can be misread as signal | permission/token audit |
| L4 | shortlist_selection/ASC_ShortlistSelectionEngine.mqh | shortlist state/status | board/dossier/SDP | source owner | status token mismatch history | status value/static parity check |
| L3/L4 boundary | MarketBoardWriter; SDP composer/writer; DossierComposer | boundary/quarantine tokens | Siam review | source inspected | debug-only vs committed truth ambiguity | readback and wording proof |
| Siam upload selector | ASC_MarketBoardWriter.mqh | SIAM_UPLOAD_SELECTOR block; 0/3/5/10 | user/Siam | review-only | selector could imply trade readiness | review-only permission scan |
| permission boundary | ArtifactTextHelpers; SDP writer; SelectionFilter; DeepSelectiveAnalysis | trade_permission=false; no entry/execution | all review outputs | source inspected | positive exact leak scan shows only negated phrases | exact forbidden positive scan in live outputs |
| FileIO/publication | io/ASC_FileIO.mqh; io/ASC_PublicationState.mqh; runtime/ASC_ServerPaths.mqh | atomic write/readback/promote | all writers | source inspected | helper-level error reason not always clear | write/readback failure injection later |
| HUD | hud/ASC_HUD_Manager.mqh; HUD read model | render/cache/update | user display | source inspected | huge file; dormant duplicate cache helper file | compile seam audit |
| strategy/signal/execution/risk | semi_auto_trading/*; deep_selective_analysis/* | semi-auto/readiness modules | trading layer | quarantined | review outputs must not influence execution | permission boundary regression test |
| package/report/control | office/*; roadmap/Truth Seeker/* | logs, manifests, reports | user/Codex | source/control inspected | missing RUN292/RUN295 report drift | control reconciliation |
| prompt/agent doctrine | AGENTS.md; Guidebooks; roadmap log | authority ladder; guidebook law | future agents | source/control inspected | doctrine bloat risk | no-ornament conversion to tests |
